# seq no., kick, snar, hclos, hopen, ltom, mtom, htom, cras, ride, duration, tempo, timesig, pos_in_bar, guitar, d_g_diff, y
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0181071, -0.0267029, -0.0340559
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 1, 0.0371519, 0.0255253
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0453132, 0, -0.0116878
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0416008, 0.00928798, -0.00306924
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 1, 0.0156735, 0.00409512
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.0264508, 0.00870748, -0.0030733
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0456349, 0.002322, -0.00822824
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 1, 0.002322, -0.00837518
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0394389, 0.00986848, -0.000444057
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.084717, 0.00986848, -0.000113573
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 1, -0.000580499, -0.0112792
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.0374376, 0.00986848, -0.000385986
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0, 0.0269405, 0.00986848, 0.00631038
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.1875, 1, -0.002322, -0.00605996
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0243396, -0.002322, -0.00570489
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.5, 0.0322148, -0.00348299, -0.00712021
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1, 0.6875, 1, -0.00696599, -0.00990913
2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.032867, -0.00290249, -0.00640137
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0, 0.0334166, -0.001935, -0.0100018
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.125, 1, -0.00425699, -0.0126098
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.25, 0.0629247, 0.00580499, -0.00214507
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.333333, 0.0270648, 0.00580499, -0.00241809
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.458333, 1, 0.00580499, -0.00169304
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.583333, 0.0486531, 0.00580499, -0.00190846
3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.666667, 0.0400538, 0.00580499, -0.00241787
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 300, 150, 1.5, 0.791667, 1, 0.00580499, -0.00232313
3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1.5, 0.916667, 0.0313469, 0.000386999, -0.00750562
4, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0.0239895, 0.000580499, -0.00953091
4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 300, 150, 1, 0.25, 0.0262462, 0.012771, 0.00301595
4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.4375, 0.0186448, 0.012771, 0.00238028
4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.0366885, 0.012771, 0.00345748
4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.625, 0.130438, -0.00928798, -0.0201733
4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 400, 150, 1, 0.75, 0.335844, 0.00290249, -0.00675315
5, 1, 0, 0, 0, 0, 0, 0, 1, 0, 400, 150, 1, 0, 0.023433, 0.00290249, -0.0125758
5, 0, 1, 0, 0, 0, 0, 0, 0, 0, 400, 150, 1, 0.25, 0.111562, 0.001161, -0.0138824
5, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.5, 0.0299087, 0.015093, 0.000116748
5, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.666667, 0.0332522, 0.015093, 0.000864921
5, 0, 0, 0, 0, 1, 1, 0, 0, 0, 266.667, 150, 1, 0.833333, 0.0446168, 0.017415, 0.00289091
6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0, 0.0498015, 0, -0.00513384
6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0.039276, 0, -0.00469614
6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.1875, 1, 0, -0.00343862
6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.25, 0.0565909, 0, -0.00472864
6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.375, 0.0197811, 0, -0.00435504
6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.5, 0.0500924, 0, -0.00503213
6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.625, 0.0500924, 0, -0.00553599
6, 0, 1, 0, 0, 0, 0, 0, 0, 0, 100, 150, 1, 0.6875, 1, 0, -0.00399519
6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.75, 0.0649541, 0, -0.00438528
6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0.875, 0.0200911, 0, -0.00529816
7, 1, 0, 1, 0, 0, 0, 0, 0, 0, 200, 150, 1, 0, 0.0364808, 0, -0.0114809
7, 0, 0, 0, 1, 0, 0, 0, 0, 0, 100, 150, 1, 0.125, 0.0234116, 0.00754649, -0.00490588
